race_id,date,venue,race_no,surface,distance,going,horse_ratings,prize,race_class,sec_time,win_combination
945,8/26/98,HV,1,0,1650,GOOD,40-15,485000,5,28.25,10
946,8/26/98,HV,2,0,1200,GOOD,60-40,625000,4,23.74,3
947,8/26/98,HV,3,0,1650,GOOD,60-40,812500,4,28.45,7
948,8/26/98,HV,4,0,1200,GOOD,80-60,850000,3,23.44,9
953,8/30/98,ST,1,0,1200,GOOD,80-60,850000,3,23.75,6
954,8/30/98,ST,2,0,1400,GOOD,80-60,850000,3,13.83,13
968,9/2/98,HV,6,0,1200,GOOD,60-40,625000,4,24.05,5
969,9/2/98,HV,7,0,1200,GOOD,80-60,850000,3,23.67,12
970,9/2/98,HV,8,0,1800,GOOD,80-60,850000,3,13.56,12
976,9/5/98,ST,6,0,1600,GOOD,60-40,625000,4,24.25,1
977,9/5/98,ST,7,0,1000,GOOD,85-60,850000,3,13.23,14
978,9/5/98,ST,8,0,1400,GOOD,80-60,850000,3,13.56,14
979,9/5/98,ST,9,0,1400,GOOD,100-80,1150000,2,13.78,12
980,9/5/98,ST,10,0,1600,GOOD,80-60,850000,3,24.95,2
981,9/9/98,HV,1,0,1200,GOOD TO FIRM,60-40,625000,4,23.78,11
982,9/9/98,HV,2,0,1650,GOOD TO FIRM,40-0,485000,5,28.56,4
989,9/13/98,ST,1,0,1000,GOOD,40-0,485000,5,13.42,10
990,9/13/98,ST,2,1,1200,FAST,60-40,625000,4,23.47,8
991,9/13/98,ST,3,0,1200,GOOD,60-40,625000,4,24.23,8
992,9/13/98,ST,4,1,1200,FAST,80-60,850000,3,23.38,3
993,9/13/98,ST,5,0,2000,GOOD,60-40,625000,4,26.66,2
994,9/13/98,ST,6,0,1600,GOOD,60-40,625000,4,24.25,11
995,9/13/98,ST,7,1,1200,FAST,80-60,850000,3,23.3,4
996,9/13/98,ST,8,0,1800,GOOD TO YIELDING,80-60,850000,3,14.16,12
997,9/13/98,ST,9,0,2000,GOOD TO YIELDING,105-80,1400000,1,25.94,14
998,9/13/98,ST,10,0,1400,GOOD TO YIELDING,80-60,850000,3,13.88,13
999,9/18/98,ST,1,0,1200,GOOD,60-40,625000,4,23.77,5
1000,9/18/98,ST,2,0,1400,GOOD,40-15,485000,5,13.62,5
1022,9/27/98,ST,5,0,1400,GOOD,60-40,625000,4,13.78,5
1023,9/27/98,ST,6,1,1800,FAST,80-60,850000,3,13.99,2
1025,9/27/98,ST,8,1,1200,FAST,100-80,1150000,2,23.34,4
1026,9/27/98,ST,9,0,1400,GOOD,100-80,1150000,2,13.59,3
1027,9/27/98,ST,10,0,1400,GOOD,80-60,850000,3,13.75,7
1089,10/21/98,HV,8,0,1650,GOOD TO FIRM,80-60,850000,3,27.61,1
1090,10/25/98,ST,1,0,1000,YIELDING,60-40,625000,4,13.39,6
1091,10/25/98,ST,2,0,1400,YIELDING,60-40,625000,4,13.72,6
1092,10/25/98,ST,3,0,1000,YIELDING,80-60,850000,3,13.19,14
1093,10/25/98,ST,4,1,1650,WET SLOW,40-10,485000,5,28.34,9
1094,10/25/98,ST,5,0,1800,YIELDING,60-40,625000,4,14,11
1095,10/25/98,ST,6,1,1200,WET SLOW,80-60,850000,3,23.56,9
1096,10/25/98,ST,7,0,1400,YIELDING,100-80,1150000,2,13.61,7
1098,10/25/98,ST,9,1,1650,WET SLOW,100-75,1150000,2,28.42,14
1099,10/25/98,ST,10,0,1400,YIELDING,80-60,850000,3,13.5,12
1100,10/28/98,HV,1,0,1200,GOOD,40-10,485000,5,24.06,7
1189,12/6/98,ST,9,0,1800,GOOD,80-60,850000,3,13.92,13
1199,12/16/98,HV,1,0,1650,GOOD TO FIRM,40-0,485000,5,28.89,1
1200,12/16/98,HV,2,0,1650,GOOD TO FIRM,60-40,625000,4,27.75,2
1232,12/26/98,ST,8,0,1200,GOOD TO YIELDING,80-60,850000,3,23.94,1
1233,12/26/98,ST,9,0,1400,GOOD TO YIELDING,80-60,850000,3,13.42,10
1234,12/26/98,ST,10,0,1600,GOOD TO YIELDING,100-80,1150000,2,24.12,13
1242,1/3/99,HV,8,0,1200,GOOD,80-60,850000,3,23.94,11
1243,1/3/99,HV,9,0,1200,GOOD,100-80,1150000,2,23.55,3
1244,1/3/99,HV,10,0,1650,GOOD,95-75,1150000,2,27.24,6
1269,1/13/99,HV,7,0,1800,GOOD TO FIRM,80-60,850000,3,13.91,5
