Team_Name, Opponent_Name,Win_Type,Toss_Decision,Host_Country,Toss_Winner_Name,Match_Winner_Name,City_Name,Venue_Name,Match_Date,Won_By,Season_Id
Chennai Super Kings,Kolkatta Knight Riders,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Kolkata,Eden Gardens,3/16/10,55,3
Royal Challengers Bangalore,Sunrisers Hyderabad,by runs,field,India,Royal Challengers Bangalore,Sunrisers Hyderabad,Delhi,Feroz Shah Kotla,3/17/10,98,3
Mumbai Indians,Kings XI Punjab,by wickets,field,India,Mumbai Indians,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,3/18/10,10,3
Royal Challengers Bangalore,Kolkatta Knight Riders,by wickets,bat,India,Royal Challengers Bangalore,Kolkatta Knight Riders,Delhi,Feroz Shah Kotla,3/19/10,5,3
Rajasthan Royals,Delhi Daredevils,by runs,field,India,Delhi Daredevils,Rajasthan Royals ,Cuttack,Barabati Stadium,3/19/10,6,3
Kings XI Punjab,Chennai Super Kings,by runs,bat,India,Kings XI Punjab,Kings XI Punjab,Ahmedabad,"Sardar Patel Stadium, Motera",3/20/10,34,3
Sunrisers Hyderabad,Mumbai Indians,by wickets,bat,India,Sunrisers Hyderabad,Mumbai Indians,Mumbai,Brabourne Stadium,3/20/10,7,3
Rajasthan Royals,Royal Challengers Bangalore,by runs,bat,India,Rajasthan Royals,Rajasthan Royals ,Cuttack,Barabati Stadium,3/21/10,10,3
Sunrisers Hyderabad,Chennai Super Kings,by wickets,bat,India,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,Brabourne Stadium,3/22/10,7,3
Mumbai Indians,Kolkatta Knight Riders,by runs,field,India,Kolkatta Knight Riders,Mumbai Indians,Bangalore,M Chinnaswamy Stadium,3/23/10,36,3
Delhi Daredevils,Kings XI Punjab,by runs,field,India,Delhi Daredevils,Kings XI Punjab,Chandigarh,"Punjab Cricket Association Stadium, Mohali",3/24/10,31,3
Sunrisers Hyderabad,Kolkatta Knight Riders,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Brabourne Stadium,3/25/10,5,3
Kings XI Punjab,Rajasthan Royals,by wickets,bat,India,Rajasthan Royals,Kings XI Punjab,Ahmedabad,"Sardar Patel Stadium, Motera",3/26/10,8,3
Delhi Daredevils,Chennai Super Kings,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Chandigarh,"Punjab Cricket Association Stadium, Mohali",3/27/10,39,3
Mumbai Indians,Royal Challengers Bangalore,by runs,field,India,Mumbai Indians,Royal Challengers Bangalore,Bangalore,M Chinnaswamy Stadium,3/25/10,17,3
Kings XI Punjab,Kolkatta Knight Riders,by runs,bat,India,Kings XI Punjab,Kings XI Punjab,Ahmedabad,"Sardar Patel Stadium, Motera",3/28/10,17,3
Rajasthan Royals,Sunrisers Hyderabad,by runs,field,India,Rajasthan Royals,Sunrisers Hyderabad,Mumbai,Dr DY Patil Sports Academy,3/28/10,41,3
Royal Challengers Bangalore,Chennai Super Kings,by runs,bat,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,3/29/10,40,3
Sunrisers Hyderabad,Delhi Daredevils,by wickets,field,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Brabourne Stadium,3/30/10,4,3
Kolkatta Knight Riders,Mumbai Indians,by wickets,bat,India,Mumbai Indians,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",3/31/10,5,3
Royal Challengers Bangalore,Kings XI Punjab,by runs,bat,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,3/31/10,67,3
Chennai Super Kings,Rajasthan Royals,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,4/1/10,24,3
Delhi Daredevils,Mumbai Indians,by wickets,bat,India,Delhi Daredevils,Mumbai Indians,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/2/10,6,3
Kolkatta Knight Riders,Kings XI Punjab,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/3/10,23,3
Sunrisers Hyderabad,Rajasthan Royals,by runs,bat,India,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai,Brabourne Stadium,4/3/10,63,3
Chennai Super Kings,Delhi Daredevils,by wickets,bat,India,Chennai Super Kings,Delhi Daredevils,Kolkata,Eden Gardens,4/4/10,8,3
Royal Challengers Bangalore,Mumbai Indians,by runs,bat,India,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,4/4/10,37,3
Rajasthan Royals,Kings XI Punjab,by runs,bat,India,Kings XI Punjab,Kings XI Punjab,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",4/5/10,2,3
Kolkatta Knight Riders,Sunrisers Hyderabad,by runs,bat,India,Kolkatta Knight Riders,Kolkatta Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",4/6/10,24,3
Kings XI Punjab,Delhi Daredevils,by wickets,bat,India,Delhi Daredevils,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,4/7/10,9,3
Chennai Super Kings,Royal Challengers Bangalore,by runs,bat,India,Chennai Super Kings,Chennai Super Kings,Kolkata,Eden Gardens,4/7/10,14,3
Mumbai Indians,Rajasthan Royals,by wickets,field,India,Rajasthan Royals,Rajasthan Royals ,Bangalore,M Chinnaswamy Stadium,4/8/10,7,3
Delhi Daredevils,Sunrisers Hyderabad,by wickets,bat,India,Sunrisers Hyderabad,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",4/9/10,6,3
